Date,Open,High,Low,Close,Volume
2020-01-02,151.04079534722928,152.89574617385426,150.61273200493892,152.79110717773438,22622100
2020-01-03,150.6032449166099,152.15378632137134,150.35590842973784,150.88861083984375,21116200
2020-01-06,149.4236895425469,151.34523581046366,148.8814652208115,151.2786407470703,20813700
2020-01-07,151.55448674061407,151.88741845287856,149.65197004750095,149.8992919921875,21634100
2020-01-08,151.18346324120319,152.96232599817733,150.25123424177713,152.28692626953125,27746500
2020-01-09,153.95166902241928,154.31315188987753,153.18115197551302,154.18948364257812,21385000
2020-01-10,154.883901340539,155.26439889865875,153.32382361311434,153.4760284423828,20725900
2020-01-13,153.87555531921038,155.35000875909117,153.39992611376826,155.32147216796875,21626500
2020-01-14,155.42610412162335,155.6258747654675,153.83750438933242,154.22752380371094,23477400
2020-01-15,154.6936008413171,155.94926860820615,154.6460495442772,155.22630310058594,21417900
2020-01-16,156.33933481414817,158.13721273567788,156.03492513756743,158.07061767578125,23865400
2020-01-17,159.25970219021264,159.307268019974,157.36669248011586,158.95530700683594,34371700
2020-01-21,158.5557563021477,159.99216589497755,158.31794168241322,158.38453674316406,29517200
2020-01-22,159.2406563351917,159.32628062584678,157.60449066453182,157.62351989746094,24138800
2020-01-23,158.0896452143955,158.66991345348552,157.21448917618713,158.59381103515625,19680800
2020-01-24,159.34529119903766,159.3643204314718,156.43444278382523,156.9956817626953,24918100
2020-01-27,153.2952821260526,155.41659876422113,152.39158956809186,154.37020874023438,32078100
2020-01-28,155.79712647746362,157.68061437029192,155.12174102533777,157.39524841308594,24899900
2020-01-29,159.65920800817042,160.52485664465172,157.61400823323692,159.84945678710938,34754500
2020-01-30,165.56654658590898,165.56654658590898,162.4654345533492,164.3584442138672,51597500
2020-01-31,163.81621076924645,163.99693766743874,161.3143966039244,161.93270874023438,36142700
2020-02-03,162.12295011566093,165.99457848362047,162.09441352698238,165.88043212890625,30107000
2020-02-04,168.50590659560362,171.83531088100904,167.7163604089728,171.3406524658203,36433300
2020-02-05,175.0600799605943,175.221792144728,169.71401246551764,171.13137817382812,39186300
2020-02-06,172.14919984254806,174.8602915536447,171.28355138573633,174.67955017089844,27751400
2020-02-07,173.93759285700128,176.5820898746418,173.58561740181293,174.92689514160156,33529100
2020-02-10,174.63201831574622,179.6356322600572,174.3181013028354,179.50245666503906,35844300
2020-02-11,181.35739459489128,181.40496041434528,174.5559033494216,175.45008850097656,53159900
2020-02-12,176.5345604946683,176.79140436308234,172.9863702267991,175.70697021484375,47062900
2020-02-13,174.15639407614833,177.15285230690492,173.95662342040714,174.7556915283203,35295800
2020-02-14,174.31808659154638,176.37280803989367,173.74732579532215,176.31573486328125,23149500
2020-02-18,176.56306158845797,178.55118804130632,176.45842259014753,178.10409545898438,27792200
2020-02-19,179.38225153650183,179.4967096593026,177.8656231906105,178.63824462890625,29997500
2020-02-20,178.32353498355386,178.60969494915213,172.74348115053945,175.9102783203125,36862400
2020-02-21,174.71792369802935,175.03269814425303,169.07109398402642,170.34925842285156,48572600
2020-02-24,160.0285043262644,166.49565003976593,155.69798779428405,163.00453186035156,68311100
2020-02-25,166.16182874650244,166.77229643217194,159.9140646567096,160.314697265625,68073300
2020-02-26,161.8790288632798,165.2652085443117,160.4482437964669,162.3177947998047,56206100
2020-02-27,155.7838955370893,159.32269602302145,150.69028929512686,150.8810577392578,93174900
2020-02-28,145.37728717616818,156.15586961350579,144.98620247898583,154.5343017578125,97012700
2020-03-02,157.68206501338486,164.94091583133388,154.82049461820966,164.81690979003906,71030800
2020-03-03,165.78026522929747,166.92489013643683,154.7727528948139,156.91893005371094,71677000
2020-03-04,160.71529466057675,162.82330947641486,157.97771647661318,162.68023681640625,49814400
